#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
26.6%	665000	1329.9999999823735	-336532.9184417035	9667.639950140076	-326865.2784915634	303.9865219847367	26.72666845570666	1.2331812221639773	530	215.22774505615234	9:58
26.8%	670000	1339.999999982137	-336324.27241922077	9430.956519323423	-326893.31589989737	296.54431547762255	26.72312209320262	1.233344874735399	530	216.85692715644836	9:56
27.0%	675000	1349.9999999819006	-336643.657237459	9668.11386005806	-326975.5433774009	304.0014234734604	26.703106354959242	1.2342693480100948	530	218.48830485343933	9:55
27.2%	680000	1359.9999999816641	-336346.8193464158	9333.132321115885	-327013.68702529994	293.46835920159015	26.62323589423094	1.2379721909657757	530	220.11688828468323	9:53
27.4%	685000	1369.9999999814277	-336633.9721790089	9388.536198945745	-327245.43598006316	295.21046298419145	26.69318716957404	1.2347280023626233	530	221.7466447353363	9:51
27.6%	690000	1379.9999999811912	-336679.06704280904	9409.00700180232	-327270.0600410067	295.854141089158	26.727331571452744	1.233150626446481	530	223.3779754638672	9:50
27.8%	695000	1389.9999999809547	-336869.04675990966	9639.196206830244	-327229.8505530794	303.09214500694526	26.728604424382272	1.2330919021164521	530	225.0083508491516	9:48
28.0%	700000	1399.9999999807183	-336497.7480570822	9573.006508759716	-326924.7415483225	301.01089495921383	26.783584679209024	1.2305606611412367	530	226.68550443649292	9:47
28.2%	705000	1409.9999999804818	-336701.02511853323	9641.607575062966	-327059.4175434703	303.16796738407874	26.785391693040435	1.23047764424305	530	228.32865810394287	9:45
28.4%	710000	1419.9999999802453	-336494.58106700575	9458.369670123899	-327036.21139688184	297.40628679755764	26.773254958231234	1.2310354389856066	530	229.97148895263672	9:43
28.6%	715000	1429.9999999800089	-336632.81391719804	9831.812319370536	-326801.00159782753	309.14871128696024	26.780018945056128	1.2307245091275152	530	231.606201171875	9:42
28.8%	720000	1439.9999999797724	-336728.0271795177	9773.118856768326	-326954.9083227494	307.30317073603925	26.746871572906972	1.232249744824929	530	233.2371826171875	9:40
29.0%	725000	1449.999999979536	-336628.82205189136	9657.238268564792	-326971.58378332655	303.6594544665864	26.746871572906972	1.232249744824929	530	234.86746048927307	9:39
29.2%	730000	1459.9999999792994	-336418.47306765756	9683.493453492347	-326734.9796141652	304.48501503683474	26.679483701163026	1.235362199649426	530	236.49947047233582	9:37
29.4%	735000	1469.999999979063	-336478.90881809604	9474.346492006796	-327004.56232608925	297.908657442472	26.75301872923957	1.2319666054940404	530	238.1322684288025	9:35
29.6%	740000	1479.9999999788265	-336489.2338583572	9535.017136176208	-326954.21672218095	299.81636792845944	26.820665526542193	1.2288593524259546	530	239.7661497592926	9:34
29.8%	745000	1489.99999997859	-336392.42082983506	9822.729096522642	-326569.69173331244	308.86310101018285	26.79051888121554	1.230242154573915	530	241.39779710769653	9:32
30.0%	750000	1499.9999999783536	-336519.870615426	9893.799394948133	-326626.07122047787	311.0978152678719	26.755135070781325	1.2318691564586173	530	243.07020807266235	9:30
30.2%	755000	1509.999999978117	-336479.09730436676	9404.892695685925	-327074.20460868086	295.7247720173728	26.749322046104137	1.2321368599089408	530	244.71149396896362	9:29
30.4%	760000	1519.9999999778806	-336551.86284902215	9499.06188660565	-327052.8009624165	298.6858012834026	26.776575861541794	1.230882762643199	530	246.3451006412506	9:27
30.6%	765000	1529.9999999776442	-336557.19509674667	9656.393906527068	-326900.8011902196	303.6329045867328	26.740265104005346	1.2325541853226787	530	247.9770908355713	9:26
30.8%	770000	1539.9999999774077	-336343.4030854235	9430.572947844239	-326912.8301375793	296.5322545650843	26.70145879400332	1.2343455061706865	530	249.60893440246582	9:24
31.0%	775000	1549.9999999771712	-336557.8067903002	9267.290164892895	-327290.51662540727	291.398037160903	26.675678252646193	1.2355384316164588	530	251.2504391670227	9:22
31.2%	780000	1559.9999999769348	-336341.2634594987	9550.765470543578	-326790.4979889551	300.31155407689687	26.59696065520932	1.2391951884218169	530	252.88160300254822	9:21
31.4%	785000	1569.9999999766983	-336589.70581024373	9519.616873394554	-327070.08893684915	299.33212644400305	26.603927683257634	1.2388706683833524	530	254.5113844871521	9:19
